user_id,visit_id,visit_referrer_source,visit_referrer_medium,visit_referrer_term,visit_referrer_content,visit_referrer_campaign,visit_page_referrer
baaf0d9b61fd620e,1,,,,,,http://earthbeauty.tumblr.com/
2bb4f80d09a1406b,1,,,,,,http://earthbeauty.tumblr.com/
c9a98654a8d26037,1,,,,,,http://es.search.yahoo.com/search;_ylt=A7x9QbuBJOpPxWIALqCT.Qt.?p=raider-waite+original+deck&ei=UTF-8&fr=moz35&xargs=0&pstart=1&b=11
cd81909a7a9de2c1,1,,,,,,http://fi.images.search.yahoo.com/images/view;_ylt=A0PDodhfStNPAGoAWWFdLAx.;_ylu=X3oDMTBlMTQ4cGxyBHNlYwNzcgRzbGsDaW1n?back=http%3A%2F%2Ffi.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3Drider%2Bwaite%2Btarot%26fr%3Dmoz35%26fr2%3Dpiv-web%26tab%3Dorganic%26ri%3D108&w=734&h=250&imgurl=mdm.pbzstatic.com%2Ftarot%2Frider-waite-tarot-deck-commemorative-set%2Fmontage.png&rurl=http%3A%2F%2Fwww.psychicbazaar.com%2Ftarot-cards%2F50-rider-waite-tarot-deck-commemorative-set.html&size=287.4+KB&name=Rider+Waite+Tarot+commemorative+set+-+Psychic+Bazaar&p=rider+waite+tarot&oid=88ebb627fc6cb71612cb5a3bd10f6e9e&fr2=piv-web&fr=moz35&tt=Rider%2BWaite%2BTarot%2Bcommemorative%2Bset%2B-%2BPsychic%2BBazaar&b=91&ni=112&no=108&tab=organic&ts=&sigr=12pce6co2&sigb=13b5tj3p2&sigi=12c1sefm7&.crumb=MequGEMKkVK
cf5c548ff1145936,1,,,,,,http://fr.search.yahoo.com/search;_ylt=Aka8_NL28wjqVRvyq.6f2gZNhJp4;_ylc=X1MDMjAyMzM5MjMzMwRfcgMyBGZyA3lmcC10LTcwMwRuX2dwcwMwBG9yaWdpbgNmci55YWhvby5jb20EcXVlcnkDdGFyb3QgaGVybWV0aWMEc2FvAzE-?p=tarot+hermetic&toggle=1&cop=mss&ei=UTF-8&fr=yfp-t-703
76c25cf9158a31ba,1,GoogleContent,cpc,egyptian pendulum,27852107728,uk-pendula--general,http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-9781509215827565&output=html&h=600&slotname=8799036734&w=160&lmt=1344523268&flash=0&url=http%3A%2F%2Fwww.solitaireparadise.com%2Fgames_list%2Fpyramid_solitaire_ancient_egypt.html&dt=1346698966439&shv=r20120822&jsv=r20110914&saldr=1&prev_slotnames=3685774947%2C0900198639%2C8103997100&correlator=1346698965653&frm=20&adk=636749534&ga_vid=907014701.1346698782&ga_sid=1346698782&ga_hid=1183057717&ga_fc=1&ga_wpids=UA-1068376-6&u_tz=60&u_his=20&u_java=0&u_h=550&u_w=1000&u_ah=550&u_aw=1000&u_cd=32&u_nplug=0&u_nmime=0&dff=trebuchet%20ms&dfs=13&adx=827&ady=247&biw=1000&bih=550&oid=3&fu=0&ifi=4&dtd=24&xpc=Jg6EZgiEnN&p=http%3A//www.solitaireparadise.com
58c3b600ec162f06,1,,,,,,http://images.google.ca/imgres?q=hermetic+tarot&hl=en&biw=1189&bih=521&tbm=isch&tbnid=BuQ_IyUbc25usM:&imgrefurl=http://www.psychicbazaar.com/tarot-cards/15-the-hermetic-tarot.html&imgurl=http://mdm.pbzstatic.com/tarot/the-hermetic-tarot/card-4.png&w=1064&h=1551&ei=ue9AUMe7Osn9iwLZ-4H4Dw&zoom=1&iact=hc&vpx=107&vpy=48&dur=2477&hovh=271&hovw=186&tx=133&ty=157&sig=115588264602219115047&page=4&tbnh=162&tbnw=120&start=57&ndsp=19&ved=1t:429,r:12,s:57,i:291
154d7b7876f6cdec,1,,,,,,http://images.google.co.jp/url?sa=t&rct=j&q=&source=web&cd=11&ved=0CGgQFjAK&url=http%3A%2F%2Fwww.psychicbazaar.com%2Ftarot-cards%2F62-the-psychic-tarot-oracle-deck.html&ei=FevzT4nyIonbmAXOuKGvBQ&usg=AFQjCNFLZNzoq4DX54zZ6rkRAuKE8_flUA
2e59a2c525a40064,1,,,,,,http://images.google.com/imgres?q=Goddesses+and+Sirens+ORACLE+cards&hl=en&gbv=2&biw=1024&bih=546&tbm=isch&tbnid=dSrdHm6KPUj69M:&imgrefurl=http://www.psychicbazaar.com/publisher/21_blue-angel-publishing&docid=rhJcKobJnXPogM&imgurl=http://mdm.pbzstatic.com/oracles/goddesses-and-sirens/montage.png&w=734&h=250&ei=8hHeT6bCAtO4hAejjsmzCg&zoom=1&iact=hc&vpx=51&vpy=192&dur=6187&hovh=131&hovw=385&tx=248&ty=82&sig=103458499578633299290&page=4&tbnh=71&tbnw=207&start=45&ndsp=15&ved=1t:429,r:0,s:45,i:219
f4dca995bc45d672,1,,,,,,http://images.google.com/imgres?q=Quick+and+easy+tarot&hl=en&sa=X&biw=1360&bih=558&tbs=isz:l&tbm=isch&tbnid=K_Ja6O9tmCcHUM:&imgrefurl=http://www.psychicbazaar.com/tarot-cards/88-quick-easy-tarot.html&docid=ltwcn8iIp2fkrM&imgurl=http://mdm.pbzstatic.com/tarot/quick--easy-tarot/card-4.png&w=1064&h=1551&ei=DxpQUP_lM-rg0QHIwoCIAQ&zoom=1&iact=rc&dur=445&sig=110981199532195796185&page=1&tbnh=100&tbnw=65&start=0&ndsp=23&ved=1t:429,r:0,s:0,i:82&tx=44&ty=44
f4dca995bc45d672,2,,,,,,http://images.google.com/imgres?q=Quick+and+Easy+Tarot&num=10&hl=en&sa=X&biw=1360&bih=558&tbs=isz:l&tbm=isch&tbnid=j6rXs8n85d51OM:&imgrefurl=http://www.psychicbazaar.com/tarot-cards/88-quick-easy-tarot.html&docid=ltwcn8iIp2fkrM&imgurl=http://mdm.pbzstatic.com/tarot/quick--easy-tarot/card-2.png&w=1064&h=1551&ei=bTNQUMyHMouA0AGBxoG4Cw&zoom=1&iact=hc&vpx=427&vpy=124&dur=179&hovh=271&hovw=186&tx=104&ty=141&sig=110981199532195796185&page=1&tbnh=100&tbnw=65&start=0&ndsp=23&ved=1t:429,r:4,s:0,i:94
